num_positive,power_hd,power_mah,power_lp,power_pd,power_lcd,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd,power_adjusted_pvb
0,0.056,0.07,0.06,0.056,0.058,0.07,0.04,0.048,0.06,0.044,0.057999999999999996,0.05,0.05
5,0.048,0.054,0.07,0.066,0.068,0.062,0.052,0.064,0.074,0.074,0.07200000000000001,0.07600000000000001,0.057999999999999996
10,0.082,0.05,0.078,0.06,0.056,0.056,0.044,0.09,0.072,0.076,0.06,0.057999999999999996,0.057999999999999996
15,0.078,0.054,0.092,0.084,0.086,0.076,0.058,0.102,0.055999999999999994,0.092,0.09,0.09,0.07200000000000001
20,0.06,0.052,0.052,0.062,0.068,0.064,0.078,0.07,0.034,0.066,0.074,0.076,0.07999999999999999
25,0.042,0.054,0.05,0.06,0.066,0.086,0.122,0.049999999999999996,0.054,0.048,0.068,0.07,0.114
30,0.086,0.14,0.124,0.148,0.156,0.19,0.178,0.10999999999999999,0.14800000000000002,0.14200000000000002,0.17400000000000002,0.164,0.16
35,0.124,0.194,0.172,0.236,0.248,0.26,0.302,0.124,0.208,0.20400000000000001,0.264,0.28200000000000003,0.278
40,0.258,0.31,0.304,0.374,0.38,0.404,0.416,0.31,0.44,0.402,0.486,0.498,0.526
45,0.46,0.574,0.474,0.528,0.548,0.582,0.622,0.548,0.542,0.448,0.5,0.51,0.564
50,0.766,0.816,0.694,0.746,0.758,0.784,0.788,0.766,0.796,0.704,0.722,0.74,0.782
