num_positive,power_hd,power_mah,power_lp,power_pd,power_lcd,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd,power_adjusted_pvb
0,0.048,0.054,0.082,0.068,0.06,0.068,0.054,0.052,0.057999999999999996,0.08,0.06,0.068,0.064
5,0.05,0.046,0.064,0.052,0.044,0.046,0.04,0.048,0.044,0.046,0.055999999999999994,0.046,0.046
10,0.074,0.058,0.06,0.06,0.066,0.076,0.062,0.08,0.056,0.05,0.05399999999999999,0.06,0.07600000000000001
15,0.08,0.066,0.058,0.07,0.072,0.116,0.058,0.09599999999999999,0.07200000000000001,0.064,0.118,0.10600000000000001,0.162
20,0.066,0.118,0.112,0.244,0.228,0.296,0.084,0.054,0.116,0.14200000000000002,0.25,0.252,0.318
25,0.06,0.178,0.192,0.386,0.356,0.452,0.12,0.082,0.188,0.24,0.42,0.41,0.472
30,0.088,0.268,0.362,0.62,0.584,0.676,0.2,0.09799999999999999,0.268,0.346,0.538,0.558,0.648
35,0.218,0.456,0.61,0.816,0.8,0.838,0.318,0.19,0.534,0.648,0.848,0.838,0.852
40,0.372,0.666,0.808,0.928,0.914,0.94,0.482,0.44,0.676,0.826,0.936,0.932,0.96
45,0.67,0.892,0.95,0.982,0.98,0.986,0.672,0.73,0.818,0.942,0.976,0.974,0.984
50,0.91,0.988,0.998,1,0.998,0.998,0.858,0.904,0.994,0.998,1,0.998,1
